matchid,duration,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
6300274,37:37,0,seven,haze,shiv,ivy,bebop,grey talon,dynamo,infernus,kelvin,mcginnis,abrams,wraith
6300275,44:19,1,pocket,wraith,viscous,mcginnis,seven,bebop,warden,vindicta,infernus,abrams,haze,grey talon
6300276,39:52,0,wraith,infernus,mo & krill,bebop,vindicta,yamato,seven,paradox,haze,warden,shiv,grey talon
6300277,37:40,0,ivy,pocket,haze,yamato,viscous,bebop,mo & krill,infernus,lady geist,vindicta,wraith,dynamo
6300278,31:30,0,mcginnis,abrams,viscous,paradox,mo & krill,lady geist,pocket,lash,wraith,bebop,vindicta,infernus
6300279,36:52,0,warden,shiv,vindicta,wraith,seven,infernus,bebop,mo & krill,lady geist,lash,ivy,abrams
6300281,38:43,0,bebop,wraith,vindicta,seven,dynamo,mo & krill,kelvin,mcginnis,viscous,shiv,infernus,haze
6300283,30:55,0,haze,bebop,mo & krill,kelvin,lady geist,wraith,lash,pocket,paradox,seven,vindicta,viscous
6300288,31:55,0,lash,infernus,shiv,vindicta,bebop,grey talon,wraith,haze,kelvin,seven,paradox,lady geist
6300289,42:29,1,shiv,seven,mo & krill,vindicta,abrams,warden,wraith,haze,viscous,paradox,grey talon,infernus
6300290,24:18,0,bebop,mcginnis,grey talon,seven,vindicta,shiv,haze,kelvin,infernus,lady geist,abrams,wraith
6300291,30:22,0,wraith,vindicta,mo & krill,lash,infernus,haze,bebop,grey talon,kelvin,seven,mcginnis,pocket
6300293,39:11,1,seven,mcginnis,vindicta,pocket,haze,infernus,warden,grey talon,shiv,bebop,wraith,viscous
6300294,40:18,1,vindicta,seven,wraith,paradox,kelvin,ivy,infernus,lady geist,viscous,grey talon,dynamo,haze
6300296,33:29,0,vindicta,mcginnis,infernus,abrams,shiv,paradox,haze,bebop,yamato,seven,warden,wraith
6300297,31:50,1,dynamo,shiv,haze,vindicta,lady geist,mo & krill,grey talon,bebop,pocket,infernus,wraith,seven
6300298,20:54,1,vindicta,seven,abrams,dynamo,haze,grey talon,lady geist,shiv,wraith,pocket,infernus,mcginnis
6300300,26:38,0,vindicta,haze,mcginnis,warden,infernus,abrams,seven,grey talon,paradox,ivy,yamato,wraith
6300301,18:13,0,bebop,seven,shiv,mcginnis,warden,dynamo,haze,lady geist,vindicta,viscous,infernus,kelvin
6300302,44:32,1,seven,wraith,vindicta,bebop,grey talon,mcginnis,lash,haze,ivy,paradox,yamato,abrams
6300303,23:59,1,wraith,haze,mo & krill,mcginnis,paradox,viscous,abrams,kelvin,infernus,vindicta,dynamo,seven
6300304,27:06,1,paradox,haze,warden,infernus,grey talon,shiv,dynamo,seven,yamato,wraith,mo & krill,pocket
6300305,41:42,1,shiv,mcginnis,grey talon,haze,lady geist,ivy,wraith,bebop,kelvin,warden,infernus,seven
6300308,20:15,1,warden,lady geist,grey talon,mcginnis,vindicta,pocket,abrams,wraith,ivy,kelvin,infernus,haze
6300309,43:11,0,pocket,haze,mo & krill,bebop,abrams,yamato,mcginnis,kelvin,wraith,vindicta,ivy,infernus
6300310,21:11,1,vindicta,abrams,infernus,mcginnis,kelvin,warden,bebop,viscous,wraith,seven,haze,shiv
6300311,27:06,0,infernus,haze,ivy,mcginnis,grey talon,dynamo,bebop,viscous,seven,abrams,wraith,vindicta
6300312,14:28,0,abrams,infernus,mo & krill,vindicta,pocket,mcginnis,lady geist,haze,bebop,paradox,wraith,seven
6300313,47:15,0,infernus,mo & krill,yamato,lash,seven,dynamo,vindicta,grey talon,bebop,wraith,lady geist,mcginnis
6300314,35:36,1,seven,lady geist,dynamo,haze,abrams,infernus,grey talon,bebop,wraith,paradox,ivy,vindicta
6300315,40:22,0,bebop,abrams,kelvin,lady geist,warden,shiv,vindicta,infernus,mcginnis,haze,dynamo,yamato
6300316,30:52,1,bebop,kelvin,lash,vindicta,seven,viscous,infernus,pocket,dynamo,mcginnis,shiv,grey talon
6300320,20:27,1,viscous,infernus,haze,dynamo,wraith,seven,abrams,ivy,vindicta,grey talon,bebop,mcginnis
6300321,15:26,1,kelvin,haze,lash,shiv,wraith,yamato,abrams,seven,paradox,vindicta,pocket,warden
6300323,38:08,1,seven,wraith,mcginnis,yamato,pocket,shiv,abrams,grey talon,infernus,haze,viscous,vindicta
6300324,36:04,1,seven,yamato,lady geist,paradox,wraith,infernus,bebop,abrams,haze,pocket,vindicta,warden
6300326,34:18,1,infernus,paradox,shiv,mo & krill,yamato,seven,haze,abrams,bebop,grey talon,lash,vindicta
6300328,21:22,0,abrams,dynamo,mcginnis,haze,vindicta,ivy,seven,bebop,grey talon,infernus,warden,lash
6300329,37:33,0,bebop,infernus,paradox,abrams,shiv,dynamo,grey talon,vindicta,mcginnis,seven,pocket,haze
6300330,26:59,0,wraith,lash,pocket,warden,seven,vindicta,bebop,dynamo,lady geist,kelvin,infernus,haze
6300331,29:51,0,pocket,yamato,seven,vindicta,grey talon,haze,lady geist,wraith,viscous,mcginnis,dynamo,infernus
