matchid,duration,winner,hero_1_A,nickname_1_A,lane_1_A,kills_1_A,deaths_1_A,assists_1_A,souls_1_A,SPM_1_A,last_hits_1_A,denies_1_A,level_1_A,hero_2_A,nickname_2_A,lane_2_A,kills_2_A,deaths_2_A,assists_2_A,souls_2_A,SPM_2_A,last_hits_2_A,denies_2_A,level_2_A,hero_3_A,nickname_3_A,lane_3_A,kills_3_A,deaths_3_A,assists_3_A,souls_3_A,SPM_3_A,last_hits_3_A,denies_3_A,level_3_A,hero_4_A,nickname_4_A,lane_4_A,kills_4_A,deaths_4_A,assists_4_A,souls_4_A,SPM_4_A,last_hits_4_A,denies_4_A,level_4_A,hero_5_A,nickname_5_A,lane_5_A,kills_5_A,deaths_5_A,assists_5_A,souls_5_A,SPM_5_A,last_hits_5_A,denies_5_A,level_5_A,hero_6_A,nickname_6_A,lane_6_A,kills_6_A,deaths_6_A,assists_6_A,souls_6_A,SPM_6_A,last_hits_6_A,denies_6_A,level_6_A,hero_1_B,nickname_1_B,lane_1_B,kills_1_B,deaths_1_B,assists_1_B,souls_1_B,SPM_1_B,last_hits_1_B,denies_1_B,level_1_B,hero_2_B,nickname_2_B,lane_2_B,kills_2_B,deaths_2_B,assists_2_B,souls_2_B,SPM_2_B,last_hits_2_B,denies_2_B,level_2_B,hero_3_B,nickname_3_B,lane_3_B,kills_3_B,deaths_3_B,assists_3_B,souls_3_B,SPM_3_B,last_hits_3_B,denies_3_B,level_3_B,hero_4_B,nickname_4_B,lane_4_B,kills_4_B,deaths_4_B,assists_4_B,souls_4_B,SPM_4_B,last_hits_4_B,denies_4_B,level_4_B,hero_5_B,nickname_5_B,lane_5_B,kills_5_B,deaths_5_B,assists_5_B,souls_5_B,SPM_5_B,last_hits_5_B,denies_5_B,level_5_B,hero_6_B,nickname_6_B,lane_6_B,kills_6_B,deaths_6_B,assists_6_B,souls_6_B,SPM_6_B,last_hits_6_B,denies_6_B,level_6_B
6425000,32:22,The Sapphire Flame,Infernus,Ship,Left,1,10,11,28367,876.43,192,7,26,Lady Geist,Coochienetta,Mid Right,1,8,5,28364,876.33,179,5,26,Kelvin,china number 1,Right,11,9,11,29614,914.95,106,29,26,Lash,datboitwix,Right,9,12,8,31081,960.28,177,3,27,Seven,Presence,Right,9,8,9,39566,1222.43,204,11,30,Yamato,Quans,Right,16,9,5,38246,1181.65,160,3,29,Haze,LimeSalt,Left,12,9,12,38440,1187.64,151,13,29,Pocket,Tyler,Mid Right,5,7,11,34871,1077.37,224,11,28,McGinnis,onions,Right,12,11,11,33324,1029.58,131,1,28,Vindicta,condurr,Right,11,8,14,39391,1217.02,151,14,30,Ivy,SeSqMagikarp,Right,5,5,19,38973,1204.11,173,9,29,Shiv,Smevz,Right,11,7,10,37361,1154.3,166,7,29
6425001,29:58,The Sapphire Flame,Paradox,899670138,Left,5,6,10,27900,931.03,139,5,26,Haze,378168164,Left,12,5,6,38887,1297.68,130,17,29,Infernus,Quantumofire,Mid Right,5,6,11,34852,1163.03,136,22,28,Abrams,Faceless,Mid Right,6,10,7,23865,796.38,100,4,24,Wraith,Snade,Right,2,9,4,30706,1024.67,208,8,27,Vindicta,Sigma Xi,Right,6,7,7,27658,922.96,132,15,26,Ivy,taunty,Left,4,4,8,31441,1049.2,137,30,27,Kelvin,Crazem,Left,2,9,10,30629,1022.1,170,14,27,Grey Talon,reeceisbetter,Mid Right,9,8,6,29475,983.59,99,4,26,Yamato,unlimited,Mid Right,10,7,8,36684,1224.16,125,9,29,Seven,psich1c,Right,13,4,12,43799,1461.59,257,8,31,Lash,Percocet Pete,Right,5,5,4,32310,1078.2,215,26,27
6425003,29:57,The Amber Hand,Bebop,Oh Wonder,Left,6,4,11,30301,1011.72,144,16,27,Haze,atheia,Mid Right,12,8,9,33697,1125.11,159,9,28,Abrams,D A Y [ 9 ],Right,10,5,17,37797,1262.0,142,31,29,Warden,Da Law,Right,6,9,7,28532,952.65,154,5,26,Mo & Krill,et,Right,13,2,16,41834,1396.79,206,20,30,Shiv,Eroot,Right,3,11,10,22061,736.59,54,2,24,Paradox,sh0ᴎ,Left,2,8,15,21742,725.94,90,7,23,Wraith,|AΩ| BuffGoff1,Mid Right,8,12,9,31866,1063.97,163,4,27,Vindicta,Panzair,Right,4,7,11,28483,951.02,123,6,26,Kelvin,Tettrum,Right,7,8,14,26857,896.73,142,8,25,Lash,Bronan,Right,9,8,14,27972,933.96,92,2,26,Seven,ZYPHERUS,Right,9,7,14,27291,911.22,133,8,26
6425004,53:57,The Amber Hand,McGinnis,Skelni,Left,8,10,28,63551,1177.96,312,18,33,Grey Talon,Throbgoblin,Left,5,8,19,39983,741.11,102,2,30,Seven,ArrogantLobster,Mid Right,22,7,28,78278,1450.94,410,7,33,Shiv,redzhgaming,Right,26,12,28,63363,1174.48,290,4,33,Dynamo,Pants,Right,4,10,36,48625,901.3,134,2,33,Haze,106467267,Right,16,10,33,67808,1256.87,316,23,33,Lash,Icy Inferno,Left,7,15,19,53792,997.07,244,36,33,Abrams,intel,Left,9,14,22,59337,1099.85,270,2,33,Mo & Krill,limit testing,Mid Right,8,12,16,60280,1117.33,300,15,33,Warden,NF,Right,6,19,17,45986,852.38,188,15,32,Pocket,:),Right,3,13,19,49146,910.95,206,17,33,Vindicta,TRS_TheGuidance,Right,24,8,16,82691,1532.73,281,22,33
6425005,23:05,The Sapphire Flame,Mo & Krill,PatrolMaster69,Left,2,5,4,18008,780.13,97,15,22,McGinnis,SYDTKO,Left,5,4,3,22328,967.28,121,7,24,Seven,Semen Steve,Mid Right,3,5,3,22728,984.61,152,23,24,Viscous,Graham S,Right,1,6,5,15813,685.04,67,1,20,Pocket,JetRhee,Right,1,8,2,15899,688.77,125,6,20,Paradox,BASTIAN,Right,2,5,3,16387,709.91,96,7,21,Yamato,Amia,Left,3,4,3,24307,1053.01,126,9,25,Ivy,♥ Mutt ♥,Left,3,2,8,23551,1020.26,118,18,24,Warden,ken fartson,Mid Right,7,1,11,25138,1089.01,105,8,25,Infernus,concrete eating man,Right,3,1,12,25163,1090.09,119,13,25,Lash,Son,Right,2,2,9,23890,1034.95,138,18,24,Shiv,Sleep Tight Puppers,Right,15,4,9,27786,1203.73,135,16,26
6425006,33:02,The Sapphire Flame,Kelvin,George Lopez,Left,5,9,7,29790,901.82,157,2,26,Lash,Ye old Tyrone,Left,6,10,5,30831,933.33,162,2,27,Shiv,< Dream >,Mid Right,7,8,5,42602,1289.67,242,9,31,Warden,134046680,Right,6,9,8,30006,908.36,160,14,27,Dynamo,No.,Right,11,7,14,29583,895.55,119,1,26,Infernus,GOD,Right,9,9,12,28580,865.19,120,14,26,Viscous,Braxoff,Left,9,5,12,39063,1182.53,154,16,30,Bebop,WEEKAPOODIA,Left,2,8,16,31061,940.29,110,1,27,Pocket,tan,Mid Right,13,7,10,39181,1186.1,191,8,30,Haze,Mules,Right,13,5,10,43313,1311.19,229,34,31,Yamato,Almighty,Right,8,7,21,39762,1203.69,202,6,30,Seven,kirbies,Right,7,12,19,40212,1217.32,176,3,30
6425007,36:34,The Amber Hand,Seven,99844858,Left,5,9,14,37341,1021.18,180,1,29,Grey Talon,AKULA,Left,7,8,15,37584,1027.82,178,17,29,Viscous,227992301,Mid Right,6,5,18,35505,970.97,84,13,28,Wraith,174438857,Mid Right,11,6,5,44420,1214.77,233,9,31,Haze,UwU,Right,9,5,9,30510,834.37,93,8,27,Infernus,Khada,Right,14,5,11,48458,1325.2,251,18,33,Bebop,Dayy,Left,14,12,7,36349,994.05,137,18,29,Kelvin,JC Discount_Dane,Left,2,8,18,30501,834.12,70,15,27,Dynamo,178542712,Mid Right,5,8,15,33515,916.55,102,4,28,Mo & Krill,lauqe,Mid Right,8,5,13,43732,1195.95,231,12,31,Lash,356053318,Right,6,10,7,28636,783.12,149,11,26,Pocket,81743182,Right,3,9,11,34299,937.99,200,13,28
6425008,33:49,The Sapphire Flame,Haze,205259407,Left,15,6,8,36557,1081.03,111,5,29,Wraith,135159832,Left,4,12,12,29497,872.26,160,7,26,Pocket,196828757,Mid Right,6,13,11,25103,742.33,86,1,25,Lady Geist,-- neepz,Right,13,10,9,32448,959.53,145,11,27,Seven,89133093,Right,9,10,17,32929,973.75,149,1,27,Paradox,57040212,Right,6,8,16,27199,804.31,91,6,26,Infernus,SUDAMERICAN PLAYER,Left,10,5,19,35490,1049.48,129,8,28,Abrams,837729222,Left,10,8,13,31443,929.81,102,2,27,Shiv,1589484328,Mid Right,10,8,10,33914,1002.88,162,2,28,Dynamo,66810477,Right,2,15,3,19425,574.42,55,4,22,Warden,114480331,Right,9,9,7,33019,976.41,136,5,27,Bebop,382201728,Right,18,8,8,41861,1237.88,151,4,30
6425010,25:40,The Sapphire Flame,Wraith,185283857,Left,6,10,4,21133,823.36,99,23,23,Warden,62161596,Mid Right,4,12,7,21049,820.09,103,8,23,Paradox,190086968,Mid Right,1,13,3,15425,600.97,76,0,20,Haze,Xephyrez,Right,11,11,3,30112,1173.19,134,6,27,Viscous,122219737,Right,2,5,3,18674,727.56,76,2,22,Bebop,196577029,Right,4,13,5,21038,819.66,111,5,23,Grey Talon,mentally fragile,Left,15,6,9,29918,1165.64,91,4,26,Abrams,shinshin,Mid Right,14,5,14,35321,1376.14,146,8,28,Yamato,84399376,Mid Right,16,2,19,31572,1230.08,99,6,27,Shiv,OGMudbone909,Right,2,5,11,21184,825.35,64,9,23,Seven,Asian,Right,7,4,16,26821,1044.97,111,3,25,Mo & Krill,160392887,Right,10,6,15,28668,1116.94,121,2,26
6425011,27:23,The Sapphire Flame,Kelvin,bhur,Left,1,9,6,18609,679.57,117,14,22,Dynamo,SuperToad916,Mid Right,1,10,7,17380,634.69,72,13,21,Bebop,484903991,Mid Right,1,14,3,14918,544.78,48,1,19,Vindicta,Xavibite,Right,11,6,2,30442,1111.7,103,16,27,Lady Geist,PinkLemonade,Right,1,6,4,21997,803.3,155,14,23,Paradox,RosieWoahsie,Right,1,5,3,21198,774.12,166,7,23,Lash,Kilgrim,Left,9,4,6,32755,1196.17,169,7,27,Infernus,BDB,Mid Right,7,1,11,30456,1112.21,142,13,27,Wraith,30419682,Mid Right,13,4,17,33010,1205.48,138,25,27,Haze,Requar,Right,4,2,10,38942,1422.11,196,18,29,Ivy,candy,Right,12,3,19,33374,1218.77,125,19,28,Seven,danceashleydance,Right,5,2,13,25915,946.38,95,2,25
6425012,29:16,The Sapphire Flame,Kelvin,mks^,Left,6,11,15,21103,721.06,40,6,23,Wraith,^0flame (>'.')>,Left,0,10,12,17785,607.69,53,3,21,Dynamo,19776283,Mid Right,6,8,11,23495,802.79,125,9,24,Pocket,Morza,Right,11,7,8,32240,1101.59,162,4,27,Paradox,dire,Right,12,5,11,37083,1267.07,186,14,29,Grey Talon,brs^,Right,12,11,15,33225,1135.25,131,4,28,Lady Geist,80709991,Left,10,6,12,23978,819.29,61,5,24,Mo & Krill,Brown Boot Goofin',Left,4,9,23,26547,907.07,111,3,25,Infernus,jjunk,Mid Right,5,9,9,28202,963.62,126,20,26,Vindicta,Geekabyte,Right,9,6,11,23763,811.95,48,4,24,Haze,1144788343,Right,11,7,11,35665,1218.62,157,5,28,Abrams,Tabletop,Right,12,10,7,32125,1097.67,159,6,27
6425013,42:02,The Sapphire Flame,Shiv,148796992,Left,11,8,18,38605,918.44,150,7,29,Abrams,SwitNiceNiceNiceNice,Mid Right,19,8,14,46207,1099.29,188,7,32,Paradox,224496717,Right,11,3,16,52102,1239.54,277,5,33,Lady Geist,294626782,Right,8,12,17,35507,844.73,217,24,28,Bebop,Stingray,Right,25,10,15,50921,1211.44,285,4,33,Vindicta,"hey nuts, its berserking time",Right,7,6,23,34751,826.75,118,8,28,Yamato,MonkeyCurler,Left,10,13,11,50635,1204.64,170,3,33,Mo & Krill,Jake Raygun,Mid Right,16,12,16,52700,1253.77,155,3,33,McGinnis,6399540,Right,2,11,15,49890,1186.92,247,12,33,Grey Talon,20199293,Right,2,16,7,27455,653.17,64,3,26,Seven,Spectre,Right,9,13,16,53319,1268.49,248,15,33,Kelvin,John Helldiver,Right,8,16,17,45518,1082.9,151,6,32
6425014,42:22,The Amber Hand,Yamato,AyoSwuffy,Left,17,8,7,47263,1115.57,238,11,32,Shiv,394129022,Mid Right,27,8,11,71040,1676.79,253,20,33,Abrams,Faia,Mid Right,8,9,17,43494,1026.61,163,5,31,Bebop,pokey,Right,9,12,10,34719,819.49,151,0,28,Vindicta,132071602,Right,9,8,23,40823,963.56,163,4,30,Lady Geist,Sinner,Right,15,12,22,46986,1109.03,190,15,32,Lash,Draxer,Left,4,19,5,33181,783.19,193,6,28,Warden,Valkyrie,Mid Right,14,9,13,50331,1187.99,154,6,33,Haze,Shoflix,Mid Right,3,12,11,40376,953.01,159,4,30,Seven,880049067,Right,18,9,13,51834,1223.46,235,14,33,Mo & Krill,Kekkoseru,Right,3,21,17,32451,765.96,89,1,27,Infernus,106004532,Right,14,15,9,56939,1343.96,229,11,33
6425023,40:04,The Sapphire Flame,Bebop,9021788,Left,8,9,14,39802,993.39,197,14,30,Grey Talon,MrSphex,Mid Right,6,13,11,33831,844.37,185,17,28,Viscous,837314931,Mid Right,9,9,15,35080,875.54,86,13,28,Abrams,Roger Klotz's bookie,Right,15,12,12,35397,883.45,148,26,28,Ivy,Rhipose,Right,1,7,27,33738,842.05,135,13,28,Shiv,Bot Dylan,Right,15,7,10,53008,1323.0,265,19,33,Mo & Krill,Hash,Left,5,9,9,36714,916.32,192,17,29,Haze,Rez,Mid Right,18,12,6,40791,1018.08,123,9,30,Pocket,jan,Mid Right,5,3,22,46008,1148.29,222,20,32,Wraith,ULTIMATE SANDWICH COOKER 7000,Right,9,10,17,48752,1216.77,188,14,33,Warden,aoba,Right,15,9,17,51427,1283.54,211,21,33,McGinnis,sprinklz,Right,5,11,21,37368,932.65,201,17,29
6425024,43:51,The Amber Hand,Seven,153090004,Left,20,8,18,65896,1502.76,338,10,33,McGinnis,363308408,Left,2,10,17,43013,980.91,190,2,31,Vindicta,mimi,Mid Right,18,10,15,58259,1328.6,183,16,33,Paradox,big dog,Right,9,14,22,44290,1010.03,177,21,31,Kelvin,neat,Right,6,7,27,41910,955.76,173,11,30,Viscous,Sir Spooks,Right,12,7,15,43878,1000.64,132,24,31,Lady Geist,Rich Homie Aquaman,Left,5,15,14,44920,1024.4,201,20,31,Haze,7AM,Left,9,16,12,41052,936.19,132,6,30,Dynamo,76295989,Mid Right,10,9,11,44758,1020.71,199,8,31,Shiv,Klonk,Right,18,11,9,47092,1073.93,185,5,32,Grey Talon,jbeng,Right,8,7,15,46835,1068.07,200,5,32,Ivy,walter,Right,5,9,7,47141,1075.05,248,10,32
6425025,18:32,The Sapphire Flame,Viscous,352173939,Left,2,2,2,11712,631.94,79,14,16,Wraith,Player1,Left,1,6,3,8494,458.31,42,0,13,Warden,Shooter,Mid Right,3,2,1,16280,878.42,137,8,21,Shiv,hd0l,Right,1,5,0,9231,498.08,81,6,14,Infernus,AlwaysLuffy,Right,5,6,0,15635,843.62,85,11,20,Grey Talon,Scopez,Right,1,7,2,9296,501.58,40,7,14,Yamato,Asha,Left,2,4,3,14522,783.56,53,2,19,Kelvin,193225060,Left,0,1,4,15528,837.84,55,4,20,McGinnis,17419703,Mid Right,3,2,4,19904,1073.96,124,9,22,Haze,medo,Right,9,2,5,21694,1170.54,91,8,23,Bebop,Reck,Right,11,3,5,20510,1106.65,75,3,23,Paradox,107090289,Right,3,2,6,17598,949.53,84,4,21
6425029,35:51,The Sapphire Flame,Grey Talon,Sleepy Witch,Left,2,16,1,33788,942.48,202,4,28,Lady Geist,Pyrobite,Mid Right,2,8,4,31355,874.62,142,9,27,McGinnis,143957935,Right,1,11,9,27268,760.61,142,7,26,Viscous,Jesus D. Christ,Right,2,7,8,23781,663.35,85,10,24,Bebop,Eradicate,Right,12,9,7,30897,861.84,89,6,27,Seven,Joseph Ballin,Right,7,6,11,31509,878.91,183,14,27,Infernus,78598924,Left,23,3,8,49326,1375.9,238,7,33,Lash,Jicoozi,Mid Right,16,2,16,43670,1218.13,231,12,31,Shiv,Tex1,Right,4,5,13,25806,719.83,74,0,25,Wraith,Indominant,Right,9,0,11,37773,1053.64,212,12,29,Haze,179140788,Right,4,12,8,24990,697.07,107,10,25,Vindicta,Pea,Right,1,4,6,22320,622.59,76,23,24
6425030,40:20,The Sapphire Flame,Warden,127553807,Left,5,10,17,34214,848.28,182,16,28,Viscous,76041651,Mid Right,6,5,18,33887,840.17,142,4,28,Lady Geist,75895778,Mid Right,7,8,19,39765,985.91,155,20,30,Mo & Krill,John Barr,Right,8,12,15,38919,964.93,130,3,29,Seven,Pondering The Orb,Right,5,10,8,35709,885.35,163,5,28,Vindicta,1104792038,Right,14,5,6,48511,1202.75,180,4,33,Haze,205190480,Left,8,8,16,46513,1153.21,267,16,32,Ivy,kato,Mid Right,5,6,16,34060,844.46,103,6,28,Lash,211043605,Mid Right,7,12,16,36100,895.04,129,2,29,Abrams,105395368,Right,17,8,17,48424,1200.6,162,7,33,Bebop,Wolferine,Right,6,3,14,34356,851.8,103,10,28,Shiv,Big Tone,Right,7,8,6,42190,1046.03,231,3,31
6425031,38:34,The Sapphire Flame,McGinnis,146522081,Left,2,10,5,30847,799.84,195,4,27,Viscous,80454276,Left,7,3,7,44673,1158.33,199,2,31,Ivy,"Killa, Kiba's Gun Sale Clerk",Mid Right,4,5,4,43837,1136.66,303,3,31,Bebop,114765322,Right,14,13,6,39325,1019.66,209,2,30,Paradox,311076440,Right,2,8,7,29293,759.54,112,15,26,Grey Talon,80420045,Right,10,6,8,39073,1013.13,184,10,30,Vindicta,JAMMAGEMS,Left,6,5,12,40614,1053.09,166,21,30,Seven,127926365,Left,9,3,16,41439,1074.48,184,8,30,Warden,163513377,Mid Right,10,11,2,34104,884.29,171,6,28,Wraith,125966368,Right,4,8,16,51158,1326.48,289,12,33,Lash,dingo_bingo27,Right,7,9,9,38472,997.55,156,24,29,Shiv,mastertait,Right,9,3,9,45128,1170.13,178,21,31
6425032,33:33,The Sapphire Flame,Seven,Meatshield,Left,2,8,2,29987,893.8,272,10,26,Kelvin,Tiomisu,Left,2,10,6,30624,912.79,152,8,27,McGinnis,138801612,Mid Right,1,12,3,20708,617.23,121,6,23,Lash,Le Goobs,Right,5,16,3,24703,736.3,96,17,25,Lady Geist,Moose,Right,2,16,4,18416,548.91,60,6,22,Abrams,95517696,Right,1,10,0,21807,649.99,124,12,23,Grey Talon,Moe,Left,19,1,15,39290,1171.09,165,7,30,Paradox,AVeryFlamboyantHorse,Left,12,1,22,35178,1048.52,147,5,28,Viscous,Sehp,Mid Right,8,2,12,41996,1251.74,271,3,30,Haze,Aclethos,Right,16,4,12,38276,1140.86,118,2,29,Bebop,Fiction,Right,11,4,12,31722,945.51,115,4,27,Wraith,177643601,Right,6,1,22,35325,1052.91,199,6,28
6425033,34:08,The Sapphire Flame,Grey Talon,Bolt,Left,2,2,5,32627,955.87,212,15,27,Infernus,386326246,Mid Right,7,4,4,35128,1029.14,193,18,28,McGinnis,Mcferrick,Right,4,14,12,25683,752.43,116,7,25,Paradox,geoff,Right,4,9,7,29262,857.29,138,12,26,Vindicta,tyjoat,Right,8,6,10,31703,928.8,114,17,27,Wraith,Step,Right,2,6,10,23868,699.26,98,3,24,Ivy,65139698,Left,6,2,7,39595,1160.01,233,21,30,Kelvin,Poseidnas,Mid Right,2,5,16,28196,826.05,133,12,26,Haze,Chao,Right,18,5,11,37240,1091.02,106,17,29,Seven,39142414,Right,4,4,15,36567,1071.3,217,25,29,Warden,302219561,Right,9,6,12,30515,893.99,88,2,27,Dynamo,34160194,Right,2,5,15,33087,969.35,145,19,27
6425035,19:32,The Sapphire Flame,Shiv,104701641,Left,1,7,2,9104,466.08,51,2,14,Lady Geist,Keyboard Commando,Left,3,6,3,9326,477.44,48,6,14,Mo & Krill,Wing Manning,Mid Right,0,6,3,9781,500.73,80,11,15,Viscous,Xheleice,Right,2,4,5,11640,595.9,76,6,16,Dynamo,MoushleyJam,Right,3,5,1,9821,502.78,35,2,15,Infernus,extra purple,Right,1,6,2,10081,516.09,72,6,15,Ivy,Fruity,Left,5,1,16,17785,910.49,45,0,21,Vindicta,sidedoorhinge91,Left,9,3,7,17836,913.11,39,9,21,Bebop,SpudAim,Mid Right,10,0,5,23252,1190.38,131,14,24,Haze,836776410,Right,1,4,5,15649,801.14,68,5,20,Kelvin,291705176,Right,3,2,6,17037,872.2,59,11,21,Pocket,1DERBREAD,Right,6,0,4,21141,1082.3,119,1,23
6425036,36:43,The Amber Hand,Yamato,893017958,Left,3,5,5,38654,1052.76,240,11,29,Seven,301374669,Mid Right,3,7,9,31317,852.94,188,17,27,Infernus,422256685,Mid Right,0,11,7,24546,668.52,66,0,25,Lash,Photonomic,Right,10,7,12,37384,1018.18,142,10,29,Bebop,193236175,Right,14,9,7,38938,1060.5,145,13,30,Wraith,krupz,Right,8,4,6,49867,1358.16,287,16,33,Paradox,Izaya,Left,8,8,15,32870,895.23,152,11,28,Abrams,LeaferSN,Mid Right,4,4,17,29323,798.63,81,33,27,Vindicta,SaltySeacow,Mid Right,12,3,16,39739,1082.32,91,6,30,McGinnis,Nocriz,Right,8,5,18,38626,1052.0,207,5,29,Haze,3aoWvlf,Right,7,11,15,28744,782.86,82,15,26,Grey Talon,Chicken,Right,3,7,18,27828,757.91,140,6,26
6425037,33:50,The Sapphire Flame,Seven,101564233,Left,9,9,6,35596,1052.1,207,3,28,Warden,116510272,Mid Right,4,15,7,31027,917.05,161,14,27,Lash,105862557,Mid Right,7,9,10,36843,1088.96,156,3,29,Wraith,336800349,Right,4,7,9,29914,884.16,124,8,26,Vindicta,35316087,Right,15,9,7,30960,915.07,95,7,27,Bebop,258600137,Right,4,10,9,29100,860.1,108,2,26,Infernus,82149735,Left,4,8,16,35736,1056.24,166,10,28,Grey Talon,MyNameIsNoah,Mid Right,10,6,15,37779,1116.62,164,16,29,Shiv,matilda,Mid Right,30,9,10,47598,1406.84,153,1,32,Dynamo,99035249,Right,3,7,10,32288,954.33,161,8,27,Kelvin,Cowboy Tanaka,Right,8,4,11,38549,1139.38,189,6,29,Pocket,382590544,Right,4,9,6,28773,850.43,92,2,26
6425038,34:33,The Amber Hand,Dynamo,90142194,Left,7,7,28,29410,851.23,86,6,26,Haze,30158865,Left,14,13,7,28538,825.99,113,9,26,Wraith,ethanhan2013,Mid Right,17,7,19,50367,1457.8,247,15,33,Grey Talon,HopeBagels,Mid Right,17,7,20,31739,918.64,105,12,27,Kelvin,jwn8175,Right,4,3,12,35630,1031.26,224,6,28,Seven,KingVigor,Right,5,3,15,31585,914.18,208,7,27,Lady Geist,jrdn,Left,6,13,13,31359,907.64,114,5,27,Vindicta,377689532,Left,9,11,6,35612,1030.74,145,10,28,Paradox,GOOPY_GLIZZARD119,Mid Right,7,13,10,30058,869.99,100,11,27,Mo & Krill,370322387,Mid Right,7,14,8,32653,945.09,144,16,27,Pocket,166483576,Right,4,8,7,29548,855.22,125,16,26,Ivy,soren,Right,7,5,13,36757,1063.88,159,35,29
6425039,38:37,The Sapphire Flame,Haze,212328137,Left,6,10,5,30202,782.1,89,6,27,Abrams,66476711,Left,7,12,10,34228,886.35,125,0,28,Vindicta,Twinkle_Toez,Mid Right,14,6,11,39311,1017.98,143,4,30,Bebop,Dies,Right,9,3,8,37768,978.02,161,10,29,Lady Geist,Toucan,Right,9,5,8,44995,1165.17,203,13,31,Paradox,38763828,Right,5,10,10,31774,822.81,179,19,27,Wraith,mustarom,Left,10,5,14,48512,1256.25,209,20,33,Grey Talon,169646602,Left,6,8,10,32733,847.64,114,0,27,Warden,Ultreblade,Mid Right,11,14,12,34355,889.64,106,8,28,Seven,Eric,Right,6,10,14,34601,896.01,132,8,28,Yamato,Ryan,Right,5,10,9,35032,907.17,218,10,28,Kelvin,jbw,Right,8,4,12,45836,1186.95,231,16,32
6425040,44:05,The Amber Hand,Infernus,Y_NO,Left,9,10,5,63879,1449.05,271,25,33,McGinnis,Aeiou,Left,4,13,8,44120,1000.83,166,17,31,Wraith,Eigth Mile,Mid Right,10,7,9,67936,1541.08,305,9,33,Paradox,jem,Right,6,6,10,48808,1107.18,192,29,33,Lady Geist,battery,Right,6,5,10,37408,848.57,91,7,29,Shiv,81945601,Right,6,8,9,51541,1169.17,215,11,33,Haze,Calyko,Left,25,9,13,55148,1250.99,263,12,33,Viscous,850741555,Left,5,2,8,46169,1047.31,276,21,32,Dynamo,Eli,Mid Right,6,8,13,43967,997.36,208,8,31,Seven,big wet man,Right,1,8,13,39241,890.16,239,12,30,Grey Talon,armadillo,Right,9,5,13,47929,1087.24,220,10,32,Vindicta,Shady,Right,3,10,3,39795,902.72,255,10,30
6425041,38:51,The Amber Hand,Infernus,914897912,Left,9,6,18,41787,1075.6,205,25,30,Paradox,Danger Bear,Mid Right,6,11,7,29833,767.9,151,9,26,Haze,457019202,Mid Right,8,8,13,30668,789.4,110,13,27,Shiv,Toucan,Right,16,5,15,43549,1120.95,206,18,31,Vindicta,867263579,Right,17,3,16,39467,1015.88,171,1,30,Kelvin,891770369,Right,10,4,22,35840,922.52,146,26,28,Ivy,102858111,Left,2,8,5,37262,959.12,215,27,29,Lady Geist,331270154,Mid Right,2,13,3,33126,852.66,193,8,28,McGinnis,1198698204,Mid Right,2,11,6,29931,770.42,133,3,26,Pocket,pogsssdw,Right,21,15,0,43743,1125.95,158,6,31,Viscous,hello dude,Right,4,9,8,30025,772.84,116,14,27,Abrams,5104870,Right,6,10,5,29554,760.72,78,7,26
6425042,22:35,The Amber Hand,Lash,195243574,Left,9,0,17,22807,1009.9,98,5,24,Haze,CumGobbler69,Mid Right,6,5,13,18839,834.2,51,3,22,Abrams,Oni Taiji,Mid Right,9,2,9,18001,797.09,66,10,21,Infernus,Mar,Right,4,2,10,22660,1003.39,120,9,24,Pocket,IsagiYoichi,Right,6,1,10,22275,986.35,94,3,24,Seven,jmag,Right,4,2,4,25098,1111.35,182,8,25,Wraith,193862356,Left,1,6,2,14455,640.07,86,16,19,Lady Geist,FORD F250 EVOLVED ALPHA MALE,Mid Right,5,7,1,15933,705.52,66,3,20,Dynamo,rat boy genius,Mid Right,0,7,2,13260,587.16,68,11,18,Grey Talon,292067048,Right,3,5,1,17615,780.0,88,10,21,Vindicta,1018027350,Right,1,5,2,15620,691.66,76,10,20,Mo & Krill,436011927,Right,2,8,2,11772,521.27,59,4,16
6425043,46:30,The Sapphire Flame,Haze,Borderline Banana,Left,13,13,18,41327,888.75,232,29,30,Vindicta,122920548,Mid Right,18,7,19,49880,1072.69,144,26,33,Seven,KingWeen,Right,10,13,23,40282,866.28,210,9,30,McGinnis,902946187,Right,3,4,26,33394,718.15,108,12,28,Warden,74854466,Right,2,8,21,31475,676.88,159,4,27,Paradox,Chumasaurus,Right,3,13,18,30931,665.18,142,6,27,Infernus,Phrog,Left,16,9,21,45257,973.27,206,18,32,Lash,D.J.,Mid Right,2,9,18,31861,685.18,141,13,27,Dynamo,DeadMimic,Right,6,11,16,29871,642.39,104,16,26,Grey Talon,369352201,Right,11,10,22,34541,742.82,106,23,28,Kelvin,Sticcy,Right,5,11,25,35940,772.9,147,10,28,Viscous,ProperFrog,Right,18,2,3,52638,1132.0,289,14,33
